ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,TOTAL_SALES,REVENUE
10253,41,100,10,"4,910.57",6/1/2004,Cancelled,2,6,2004,Classic Cars,115.00,S12_4675,"UK Collectables, Ltd.",171 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Medium,4100,168100
10266,40,100,11,"4,468.40",7/6/2004,Shipped,3,7,2004,Classic Cars,115.00,S12_4675,L'ordine Souveniers,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,Medium,4000,160000
10277,28,100,1,"3,127.88",8/4/2004,Shipped,3,8,2004,Classic Cars,115.00,S12_4675,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium,2800,78400
10287,23,100,9,"2,675.13",8/30/2004,Shipped,3,8,2004,Classic Cars,115.00,S12_4675,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,Holz,Michael,Small,2300,52900
10300,23,100,2,"2,807.61",10/4/2003,Shipped,4,10,2003,Classic Cars,115.00,S12_4675,"Blauer See Auto, Co.",+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,Keitel,Roland,Small,2300,52900
10310,25,100,7,"2,504.75",10/16/2004,Shipped,4,10,2004,Classic Cars,115.00,S12_4675,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,Small,2500,62500
10321,24,100,15,"2,984.88",11/4/2004,Shipped,4,11,2004,Classic Cars,115.00,S12_4675,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small,2400,57600
10329,39,64.74,15,"2,524.86",11/15/2004,Shipped,4,11,2004,Classic Cars,115.00,S12_4675,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Small,2524.86,98469.54
10341,55,75.2,7,"4,136.00",11/24/2004,Shipped,4,11,2004,Classic Cars,115.00,S12_4675,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium,4136,227480
10363,46,88.45,6,"4,068.70",1/6/2005,Shipped,1,1,2005,Classic Cars,115.00,S12_4675,Suominen Souveniers,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,Suominen,Kalle,Medium,4068.7,187160.2
10377,50,100,1,"5,182.00",2/9/2005,Shipped,1,2,2005,Classic Cars,115.00,S12_4675,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium,5000,250000
10389,47,100,8,"5,243.79",3/3/2005,Shipped,1,3,2005,Classic Cars,115.00,S12_4675,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium,4700,220900
10405,97,93.28,5,"9,048.16",4/14/2005,Shipped,2,4,2005,Classic Cars,115.00,S12_4675,Mini Caravy,88601555,"24, place Kluber",,Strasbourg,,67000,France,EMEA,Citeaux,Frederique,Large,9048.16,877671.52
10419,32,100,10,"3,832.64",5/17/2005,Shipped,2,5,2005,Classic Cars,115.00,S12_4675,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium,3200,102400
10103,35,100,10,"3,920.00",1/29/2003,Shipped,1,1,2003,Trucks and Buses,116.00,S18_1097,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,3500,122500
10113,49,100,4,"4,916.66",3/26/2003,Shipped,1,3,2003,Trucks and Buses,116.00,S18_1097,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium,4900,240100
10126,38,100,10,"3,857.00",5/28/2003,Shipped,2,5,2003,Trucks and Buses,116.00,S18_1097,"Corrida Auto Replicas, Ltd",91 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart》,Medium,3800,144400
10140,32,100,10,"4,181.44",7/24/2003,Shipped,3,7,2003,Trucks and Buses,116.00,S18_1097,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium,3200,102400
10150,34,100,7,"4,641.00",9/19/2003,Shipped,3,9,2003,Trucks and Buses,116.00,S18_1097,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Medium,3400,115600
10164,36,99.17,8,"3,570.12",10/21/2003,Resolved,4,10,2003,Trucks and Buses,116.00,S18_1097,Mini Auto Werke,7675-3555,Kirchgasse 6,,Graz,,8010,Austria,EMEA,Mendel,Roland,Medium,3570.12,128524.32
10174,48,93.34,3,"4,480.32",11/6/2003,Shipped,4,11,2003,Trucks and Buses,116.00,S18_1097,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,4480.32,215055.36
10183,21,96.84,7,"2,033.64",11/13/2003,Shipped,4,11,2003,Trucks and Buses,116.00,S18_1097,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca,Small,2033.64,42706.44
10194,21,93.34,10,"1,960.14",11/25/2003,Shipped,4,11,2003,Trucks and Buses,116.00,S18_1097,"Saveley & Henriot, Co.",78325555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Small,1960.14,41162.94
10206,34,100,5,"3,966.78",12/5/2003,Shipped,4,12,2003,Trucks and Buses,116.00,S18_1097,Canadian Gift Exchange Network,604 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Medium,3400,115600
10215,46,100,2,"5,152.00",1/29/2004,Shipped,1,1,2004,Trucks and Buses,116.00,S18_1097,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,NA,Thompson,Steve,Medium,4600,211600
10228,32,100,1,"3,360.00",3/10/2004,Shipped,1,3,2004,Trucks and Buses,116.00,S18_1097,Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,NA,Tseng,Kyung,Medium,3200,102400
10245,29,100,8,"3,451.00",5/4/2004,Shipped,2,5,2004,Trucks and Buses,116.00,S18_1097,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,NA,Murphy,Leslie,Medium,2900,84100
10258,41,100,5,"5,453.00",6/15/2004,Shipped,2,6,2004,Trucks and Buses,116.00,S18_1097,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Medium,4100,168100
10270,43,96.84,8,"4,164.12",7/19/2004,Shipped,3,7,2004,Trucks and Buses,116.00,S18_1097,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",LevelNA6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,4164.12,179057.16
10280,24,100,1,"2,800.08",8/17/2004,Shipped,3,8,2004,Trucks and Buses,116.00,S18_1097,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Small,2400,57600
10291,41,100,10,"4,687.94",9/8/2004,Shipped,3,9,2004,Trucks and Buses,116.00,S18_1097,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium,4100,168100
10304,46,98,5,"4,508.00",10/11/2004,Shipped,4,10,2004,Trucks and Buses,116.00,S18_1097,Auto Assoc. & Cie.,30598555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,Medium,4508,207368
10312,32,100,2,"4,181.44",10/21/2004,Shipped,4,10,2004,Trucks and Buses,116.00,S18_1097,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium,3200,102400
10322,22,100,10,"2,251.04",11/4/2004,Shipped,4,11,2004,Trucks and Buses,116.00,S18_1097,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA,Young,Valarie,Small,2200,48400
10333,29,40.25,7,"1,167.25",11/18/2004,Shipped,4,11,2004,Trucks and Buses,116.00,S18_1097,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Small,1167.25,33850.25
10347,42,49.6,5,"2,083.20",11/29/2004,Shipped,4,11,2004,Trucks and Buses,116.00,S18_1097,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,LevelNA3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,2083.2,87494.4
10357,39,98,1,"3,822.00",12/10/2004,Shipped,4,12,2004,Trucks and Buses,116.00,S18_1097,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium,3822,149058
10370,27,100,1,"3,911.49",1/20/2005,Shipped,1,1,2005,Trucks and Buses,116.00,S18_1097,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,LevelNA15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Medium,2700,72900
10381,48,98,2,"4,704.00",2/17/2005,Shipped,1,2,2005,Trucks and Buses,116.00,S18_1097,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium,4704,225792
10391,29,85.1,10,"2,467.90",3/9/2005,Shipped,1,3,2005,Trucks and Buses,116.00,S18_1097,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,LevelNA15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,2467.9,71569.1
10411,27,100,8,"3,213.00",5/1/2005,Shipped,2,5,2005,Trucks and Buses,116.00,S18_1097,Quebec Home Shopping Network,514 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium,2700,72900
10424,54,100,5,"7,182.00",5/31/2005,In Process,2,5,2005,Trucks and Buses,116.00,S18_1097,Euro Shopping Channel,91 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,5400,291600
10109,26,100,4,"4,379.18",3/10/2003,Shipped,1,3,2003,Classic Cars,141.00,S18_1129,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa,Medium,2600,67600
10122,34,100,2,"5,004.80",5/8/2003,Shipped,2,5,2003,Classic Cars,141.00,S18_1129,Marseille Mini Autos,91244555,"12, rue des Bouchers",,Marseille,,13008,France,EMEA,Lebihan,Laurence,Medium,3400,115600
10136,25,100,2,"3,644.75",7/4/2003,Shipped,3,7,2003,Classic Cars,141.00,S18_1129,Alpha Cognac,61776555,1 rue Alsace-Lorraine,,Toulouse,,31000,France,EMEA,Roulet,Annette,Medium,2500,62500
10148,23,100,13,"2,702.04",9/11/2003,Shipped,3,9,2003,Classic Cars,141.00,S18_1129,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,LevelNA15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,2300,52900
10161,28,100,12,"3,764.88",10/17/2003,Shipped,4,10,2003,Classic Cars,141.00,S18_1129,Heintze Collectables,86 21 3555,Smagsloget 45,,Aaarhus,,8200,Denmark,EMEA,Ibsen,Palle,Medium,2800,78400
10171,35,100,2,"4,508.00",11/5/2003,Shipped,4,11,2003,Classic Cars,141.00,S18_1129,Quebec Home Shopping Network,514 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium,3500,122500
10181,44,100,6,"5,418.16",11/12/2003,Shipped,4,11,2003,Classic Cars,141.00,S18_1129,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,4400,193600
10192,22,100,11,"3,300.66",11/20/2003,Shipped,4,11,2003,Classic Cars,141.00,S18_1129,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA,Young,Valarie,Medium,2200,48400
10204,42,100,17,"6,182.40",12/2/2003,Shipped,4,12,2003,Classic Cars,141.00,S18_1129,Muscle Machine Inc,2125557413,4092 Furth Circle,SuiteNA400,NYC,NY,10022,USA,NA,Young,Jeff,Medium,4200,176400
10212,29,100,10,"4,186.73",1/16/2004,Shipped,1,1,2004,Classic Cars,141.00,S18_1129,Euro Shopping Channel,91 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,2900,84100
10225,32,100,1,"4,529.28",2/22/2004,Shipped,1,2,2004,Classic Cars,141.00,S18_1129,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,Holz,Michael,Medium,3200,102400
10240,41,100,3,"5,628.89",4/13/2004,Shipped,2,4,2004,Classic Cars,141.00,S18_1129,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,4100,168100
10253,26,100,5,"3,054.48",6/1/2004,Cancelled,2,6,2004,Classic Cars,141.00,S18_1129,"UK Collectables, Ltd.",171 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Medium,2600,67600
10266,21,100,6,"2,526.51",7/6/2004,Shipped,3,7,2004,Classic Cars,141.00,S18_1129,L'ordine Souveniers,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,Moroni,Maurizio,Small,2100,44100
10278,34,100,6,"4,667.86",8/6/2004,Shipped,3,8,2004,Classic Cars,141.00,S18_1129,Signal Gift Stores,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA,NA,King,Sue,Medium,3400,115600
10287,41,100,4,"6,499.32",8/30/2004,Shipped,3,8,2004,Classic Cars,141.00,S18_1129,"Vida Sport, Ltd",0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,Holz,Michael,Medium,4100,168100
10301,37,100,8,"5,917.78",10/5/2003,Shipped,4,10,2003,Classic Cars,141.00,S18_1129,"Norway Gifts By Mail, Co.",+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway,EMEA,Klaeboe,Jan,Medium,3700,136900
10310,37,100,2,"6,231.91",10/16/2004,Shipped,4,10,2004,Classic Cars,141.00,S18_1129,"Toms Spezialitten, Ltd",0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA,Pfalzheim,Henriette,Medium,3700,136900
10321,41,100,10,"5,803.14",11/4/2004,Shipped,4,11,2004,Classic Cars,141.00,S18_1129,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Medium,4100,168100
10331,46,100,6,"6,434.02",11/17/2004,Shipped,4,11,2004,Classic Cars,141.00,S18_1129,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa,Medium,4600,211600
10342,40,100,2,"6,454.40",11/24/2004,Shipped,4,11,2004,Classic Cars,141.00,S18_1129,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,LevelNA3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,4000,160000
10356,43,97.6,8,"4,196.80",12/9/2004,Shipped,4,12,2004,Classic Cars,141.00,S18_1129,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,4196.8,180462.4
10365,30,87.06,1,"2,611.80",1/7/2005,Shipped,1,1,2005,Classic Cars,141.00,S18_1129,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,NA,Tam,Wing C,Small,2611.8,78354
10377,35,100,2,"5,895.05",2/9/2005,Shipped,1,2,2005,Classic Cars,141.00,S18_1129,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium,3500,122500
10390,36,93.77,14,"3,375.72",3/4/2005,Shipped,1,3,2005,Classic Cars,141.00,S18_1129,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium,3375.72,121525.92
10406,61,100,3,"8,374.69",4/15/2005,Disputed,2,4,2005,Classic Cars,141.00,S18_1129,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Large,6100,372100
10419,38,100,5,"4,464.24",5/17/2005,Shipped,2,5,2005,Classic Cars,141.00,S18_1129,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium,3800,144400
10102,39,100,2,"4,808.31",1/10/2003,Shipped,1,1,2003,Vintage Cars,102.00,S18_1342,Vitachrome Inc.,2125551500,2678 Kingston Rd.,SuiteNA101,NYC,NY,10022,USA,NA,Frick,Michael,Medium,3900,152100
10111,33,99.66,6,"3,288.78",3/25/2003,Shipped,1,3,2003,Vintage Cars,102.00,S18_1342,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Medium,3288.78,108529.74
10125,32,100,1,"3,254.72",5/21/2003,Shipped,2,5,2003,Vintage Cars,102.00,S18_1342,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,LevelNA3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,3200,102400
10139,31,100,7,"3,184.94",7/16/2003,Shipped,3,7,2003,Vintage Cars,102.00,S18_1342,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",LevelNA6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,3100,96100
10149,50,100,4,"5,907.50",9/12/2003,Shipped,3,9,2003,Vintage Cars,102.00,S18_1342,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,,Brisbane,CA,94217,USA,NA,Taylor,Sue,Medium,5000,250000
10162,48,91.44,2,"4,389.12",10/18/2003,Shipped,4,10,2003,Vintage Cars,102.00,S18_1342,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium,4389.12,210677.76
10173,43,100,6,"5,036.16",11/5/2003,Shipped,4,11,2003,Vintage Cars,102.00,S18_1342,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,Rovelli,Giovanni,Medium,4300,184900
10182,25,87.33,3,"2,183.25",11/12/2003,Shipped,4,11,2003,Vintage Cars,102.00,S18_1342,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Small,2183.25,54581.25
10193,28,100,7,"3,106.88",11/21/2003,Shipped,4,11,2003,Vintage Cars,102.00,S18_1342,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia,APAC,Connery,Sean,Medium,2800,78400
10205,36,100,2,"3,735.72",12/3/2003,Shipped,4,12,2003,Vintage Cars,102.00,S18_1342,Euro Shopping Channel,91 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,3600,129600
10215,27,89.38,10,"2,413.26",1/29/2004,Shipped,1,1,2004,Vintage Cars,102.00,S18_1342,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,NA,Thompson,Steve,Small,2413.26,65158.02
10227,25,100,3,"2,953.75",3/2/2004,Shipped,1,3,2004,Vintage Cars,102.00,S18_1342,"Saveley & Henriot, Co.",78325555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Small,2500,62500
10244,40,100,7,"4,684.80",4/29/2004,Shipped,2,4,2004,Vintage Cars,102.00,S18_1342,Euro Shopping Channel,91 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,4000,160000
10256,34,95.55,2,"3,248.70",6/8/2004,Shipped,2,6,2004,Vintage Cars,102.00,S18_1342,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Medium,3248.7,110455.8
10280,50,100,9,"5,239.50",8/17/2004,Shipped,3,8,2004,Vintage Cars,102.00,S18_1342,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Medium,5000,250000
10289,38,100,2,"4,567.98",9/3/2004,Shipped,3,9,2004,Vintage Cars,102.00,S18_1342,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,3800,144400
10304,37,95.55,13,"3,535.35",10/11/2004,Shipped,4,10,2004,Vintage Cars,102.00,S18_1342,Auto Assoc. & Cie.,30598555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,Medium,3535.35,130807.95
10312,43,89.38,10,"3,843.34",10/21/2004,Shipped,4,10,2004,Vintage Cars,102.00,S18_1342,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium,3843.34,165263.62
10322,43,86.3,14,"3,710.90",11/4/2004,Shipped,4,11,2004,Vintage Cars,102.00,S18_1342,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA,Young,Valarie,Medium,3710.9,159568.7
10332,46,95.13,15,"4,375.98",11/17/2004,Shipped,4,11,2004,Vintage Cars,102.00,S18_1342,"AV Stores, Co.",171 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,Ashworth,Victoria,Medium,4375.98,201295.08
10346,42,36.11,3,"1,516.62",11/29/2004,Shipped,4,11,2004,Vintage Cars,102.00,S18_1342,Signal Gift Stores,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA,NA,King,Sue,Small,1516.62,63698.04
10356,50,50.18,9,"2,509.00",12/9/2004,Shipped,4,12,2004,Vintage Cars,102.00,S18_1342,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Small,2509,125450
10369,44,100,8,"9,240.44",1/20/2005,Shipped,1,1,2005,Vintage Cars,102.00,S18_1342,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,NA,Nelson,Allen,Large,4400,193600
10380,27,93.16,13,"2,515.32",2/16/2005,Shipped,1,2,2005,Vintage Cars,102.00,S18_1342,Euro Shopping Channel,91 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small,2515.32,67913.64
10391,35,100,2,"5,548.90",3/9/2005,Shipped,1,3,2005,Vintage Cars,102.00,S18_1342,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,LevelNA15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Medium,3500,122500
10422,51,95.55,2,"4,873.05",5/30/2005,In Process,2,5,2005,Vintage Cars,102.00,S18_1342,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium,4873.05,248525.55
10102,41,50.14,1,"2,055.74",1/10/2003,Shipped,1,1,2003,Vintage Cars,53.00,S18_1367,Vitachrome Inc.,2125551500,2678 Kingston Rd.,SuiteNA101,NYC,NY,10022,USA,NA,Frick,Michael,Small,2055.74,84285.34
10111,48,49.06,5,"2,354.88",3/25/2003,Shipped,1,3,2003,Vintage Cars,53.00,S18_1367,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Small,2354.88,113034.24
10126,42,54.99,17,"2,309.58",5/28/2003,Shipped,2,5,2003,Vintage Cars,53.00,S18_1367,"Corrida Auto Replicas, Ltd",91 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart》,Small,2309.58,97002.36
10139,49,43.13,6,"2,113.37",7/16/2003,Shipped,3,7,2003,Vintage Cars,53.00,S18_1367,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",LevelNA6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,2113.37,103555.13
10149,30,58.22,3,"1,746.60",9/12/2003,Shipped,3,9,2003,Vintage Cars,53.00,S18_1367,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,,Brisbane,CA,94217,USA,NA,Taylor,Sue,Small,1746.6,52398
10162,45,51.21,1,"2,304.45",10/18/2003,Shipped,4,10,2003,Vintage Cars,53.00,S18_1367,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Small,2304.45,103700.25
10173,48,44.21,5,"2,122.08",11/5/2003,Shipped,4,11,2003,Vintage Cars,53.00,S18_1367,Rovelli Gifts,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,Rovelli,Giovanni,Small,2122.08,101859.84
10182,32,54.45,2,"1,742.40",11/12/2003,Shipped,4,11,2003,Vintage Cars,53.00,S18_1367,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Small,1742.4,55756.8
10193,46,53.37,6,"2,455.02",11/21/2003,Shipped,4,11,2003,Vintage Cars,53.00,S18_1367,"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia,APAC,Connery,Sean,Small,2455.02,112930.92
10205,48,63.61,1,"3,053.28",12/3/2003,Shipped,4,12,2003,Vintage Cars,53.00,S18_1367,Euro Shopping Channel,91 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,3053.28,146557.44
10215,33,43.13,9,"1,423.29",1/29/2004,Shipped,1,1,2004,Vintage Cars,53.00,S18_1367,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,NA,Thompson,Steve,Small,1423.29,46968.57
10227,31,48.52,2,"1,504.12",3/2/2004,Shipped,1,3,2004,Vintage Cars,53.00,S18_1367,"Saveley & Henriot, Co.",78325555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Small,1504.12,46627.72
10244,20,58.22,6,"1,164.40",4/29/2004,Shipped,2,4,2004,Vintage Cars,53.00,S18_1367,Euro Shopping Channel,91 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Small,1164.4,23288
